epoch,train_loss,val_loss,overall_acc,entity_recall,entity_token_acc,macro_f1_non_o,span_f1,n_pred_entities,n_gold_entities,meets_overall_acc
1,1.1420151567245278,1.3175033330917358,0.874341607093811,0.08403361588716507,0.08403361588716507,0.14423076923076925,0.022988505747126436,70,119,True
2,0.6516681957004317,1.2648438215255737,0.8600451350212097,0.10084033757448196,0.10084033757448196,0.14583333333333334,0.039603960396039604,94,119,True
3,0.47862414010036153,1.2921282052993774,0.8555305004119873,0.1260504275560379,0.1260504275560379,0.17369727047146402,0.03703703703703704,108,119,True
4,0.38866321528706316,1.338939905166626,0.8532731533050537,0.1260504275560379,0.1260504275560379,0.17002118644067796,0.03603603603603604,115,119,True
5,0.33055648321260783,1.378779649734497,0.8510158061981201,0.1260504275560379,0.1260504275560379,0.1673076923076923,0.03603603603603604,118,119,True
6,0.2813830820701582,1.422100305557251,0.8532731533050537,0.1260504275560379,0.1260504275560379,0.17369727047146402,0.03636363636363637,115,119,True
7,0.2374006205576685,1.4631541967391968,0.8562828898429871,0.1260504275560379,0.1260504275560379,0.18239564428312158,0.03738317757009346,111,119,True
8,0.2006037800067476,1.4952868223190308,0.8577877879142761,0.13445378839969635,0.13445378839969635,0.19040479760119938,0.05660377358490567,113,119,True
9,0.1690249897606437,1.5836559534072876,0.8600451350212097,0.13445378839969635,0.13445378839969635,0.19221967963386727,0.05882352941176471,114,119,True
10,0.14274442063920167,1.6982100009918213,0.8653122782707214,0.13445378839969635,0.13445378839969635,0.20170312239105026,0.06185567010309278,107,119,True
11,0.1215846439982209,1.7595573663711548,0.8630549311637878,0.13445378839969635,0.13445378839969635,0.1956384323640961,0.061224489795918366,108,119,True
12,0.10512547527393952,1.8806051015853882,0.8607975840568542,0.13445378839969635,0.13445378839969635,0.19529780564263322,0.060606060606060594,112,119,True
13,0.09331039783665952,2.019458770751953,0.866064727306366,0.1260504275560379,0.1260504275560379,0.19503063308373042,0.0425531914893617,103,119,True
14,0.08275220022774865,2.1017532348632812,0.8638073801994324,0.1260504275560379,0.1260504275560379,0.19285356486892635,0.042105263157894736,106,119,True
15,0.07457293137373411,2.151721477508545,0.8645598292350769,0.1260504275560379,0.1260504275560379,0.1959079283887468,0.0425531914893617,105,119,True
