epoch,train_loss,val_loss
1,3.640107074871568,5.132284892795453
2,2.9910501887502106,4.6651352631864205
3,2.8029264408556362,4.412675249193324
4,2.70556829072793,4.2857198063693875
5,2.6423058073171046,4.213927291774911
6,2.5962388640508633,4.152224008605363
7,2.560775322863138,4.094947271742393
8,2.5321129795854302,4.049093955664465
9,2.508254294130807,4.003965226526793
10,2.4879291339100256,3.9667380668991914
